match_id,id,subtype,event_incident_typefk,elapsed,elapsed_plus,del,goal_type,card_type,player1,team
489042,379481,"serious_fouls",73,78,,,,"y","24157",10260
489042,379503,"serious_fouls",73,82,,,,"y","30362",10260
489042,379547,,70,90,,,,"y","30829",10260
489044,377978,"serious_fouls",73,56,,,,"y","37442",8650
489044,378060,"stall_time",25,90,,,,"y","46621",8650
489045,376643,"serious_fouls",73,39,,,,"y","24223",8654
489045,376951,"shirt_pull",77,49,,,,"y","37277",8654
489045,377290,,70,68,,,,"y","97988",8528
489046,378719,"serious_fouls",73,34,,,,"y","23939",8456
489047,376743,"serious_fouls",73,45,,,,"y","24136",8655
489047,377153,"serious_fouls",73,59,,,,"y","37764",8655
489047,377390,"serious_fouls",73,75,,,,"y","24004",8668
489047,377658,"serious_fouls",73,90,"4",,,"y","24160",8668
489048,377167,"serious_fouls",73,61,,,,"y","30818",8586
489048,377410,"serious_fouls",73,76,,,,"y","23760",8586
489048,377638,"serious_fouls",73,90,"2",,,"y","33128",8549
489049,377199,"serious_fouls",73,62,,,,"y","26454",8559
489049,377231,"serious_fouls",73,64,,,,"y","23333",10194
489049,377656,"serious_fouls",73,90,"3",,,"y","24435",10194
489050,376480,"shirt_pull",77,29,,,,"y","34430",8667
489050,376737,"serious_fouls",73,44,,,,"y","23022",8667
489050,377613,"serious_fouls",73,90,,,,"y","23034",8667
489051,378320,"verbal_abuse",79,45,"1",,,"y","36286",8462
489132,464128,"serious_fouls",73,23,,,,"y","32569",10260
489132,465307,"serious_fouls",73,65,,,,"y","109898",8654
489132,465608,"serious_fouls",73,81,,,,"y","24751",8654
489133,465001,"serious_fouls",73,54,,,,"y","40006",8586
489133,465064,"serious_fouls",73,57,,,,"y","23760",8586
489133,465103,"serious_fouls",73,59,,,,"y","24656",8586
489133,465612,,70,85,,,,"y","30818",8586
489133,465689,,70,90,"1",,,"y","27277",9825
489134,464256,"serious_fouls",73,31,,,,"y","39027",8456
489134,464500,"verbal_abuse",79,45,,,,"y","24213",8456
489134,465409,"hands",129,74,,,,"y","24393",8549
489134,465592,"verbal_abuse",79,84,,,,"y","33974",8456
489135,464035,"serious_fouls",73,19,,,,"y","33086",8668
489135,464482,"serious_fouls",73,41,,,,"y","23785",8559
489135,465707,,70,90,"1",,,"y","39618",8668
489136,463518,,70,11,,,,"y","30630",8455
489136,464731,,70,58,,,,"y","30686",8455
489137,463847,"shirt_pull",77,29,,,,"y","40005",10194
489137,464657,"serious_fouls",73,51,,,,"y","24133",10194
489137,465031,"serious_fouls",73,70,,,,"y","38802",8472
489138,464814,"serious_fouls",73,49,,,,"y","23988",8462
489138,465402,"hands",129,75,,,,"y","25517",8462
489138,465733,,70,75,,,,"y","40987",8462
489139,465181,"serious_fouls",73,78,,,,"y","19020",8655
489140,462694,,70,9,,,,"y","42594",8659
489140,462990,"shirt_pull",77,62,,,,"y","24728",8659
489140,463002,,70,67,,,,"y","32570",8659
489140,463080,"verbal_abuse",79,90,"3",,,"y","23788",8659
489141,464011,"serious_fouls",73,35,,,,"y","38816",8528
489141,465198,"serious_fouls",73,76,,,,"y","25150",8528
489142,467149,"serious_fouls",73,20,,,,"y","34275",8667
489142,468288,"serious_fouls",73,85,,,,"y","30829",10260
489142,468295,"serious_fouls",73,86,,,,"y","32577",8667
489142,468301,"serious_fouls",73,86,,,,"y","38817",10260
489143,468753,"serious_fouls",73,45,"1",,,"y","30618",8650
489143,468922,,70,67,,,,"y","30617",8650
489143,468962,,70,75,,,,"y","30354",8586
489145,467080,"serious_fouls",73,17,,,,"y","24166",8549
489145,467297,,70,33,,,,"y","24163",8549
