match_id,id,subtype,event_incident_typefk,elapsed,elapsed_plus,del,goal_type,coordinates,player1,player2,team
489042,378998,"header",406,22,,,"n",,"37799","38807",10261
489042,379019,"shot",393,24,,,"n",,"24148","24154",10260
489043,375546,"shot",393,4,,,"n",,"26181","39297",9825
489044,378041,"distance",407,83,,,"n",,"30853","30889",8650
489045,376060,"shot",393,4,,,"n",,"23139","36394",8654
489045,376165,"shot",393,10,,,"n",,"23139","37277",8654
489045,376929,"volley",411,47,,,"n",,"127857","34466",8528
489046,378837,"header",406,47,,,"n",,"26165","23354",10252
489046,378981,,20,64,,,"p",,"40198",,8456
489046,379030,"shot",393,69,,,"n",,"23264","24658",10252
489046,379074,"header",406,74,,,"n",,"23264","23782",10252
489046,379095,"shot",393,76,,,"n",,"23264","23782",10252
489046,379250,"shot",393,90,,,"n",,"46403","45431",8456
489047,376354,"distance",407,22,,,"n",,"30342","23916",8655
489047,376795,"direct_freekick",130,45,"2",,"n",,"24011",,8668
489047,377232,"header",406,65,,,"n",,"24160","24011",8668
489047,377255,"shot",393,67,,,"n",,"30646","24136",8655
489047,377671,"shot",393,90,"5",,"n",,"37764","23921",8655
489048,376536,"header",299,32,,,"dg",,"24166",,8549
489048,377347,"shot",393,71,,,"n",,"24166","35608",8549
489048,377556,"shot",393,86,,,"n",,"38491","33128",8549
489048,377648,,115,90,"3",,"o",,"38899",,8549
489049,376569,"distance",407,34,,,"n",,"26454","23933",8559
489049,376692,"header",406,41,,,"n",,"23934","23783",8559
489049,376818,"header",406,45,"2",,"n",,"34261","23931",8559
489049,377666,"header",406,90,"3",,"n",,"38755","23371",10194
489050,376153,"header",406,9,,,"n",,"34248","24843",9879
489050,376379,"distance",407,23,,,"n",,"39073","34430",8667
489050,377500,"shot",393,82,,,"n",,"23563","23034",8667
489051,378202,"shot",393,12,,,"n",,"30630","30699",8455
489051,378245,"header",406,26,,,"n",,"37804","30686",8455
489051,378318,,20,45,"2",,"p",,"30631",,8455
489051,378626,"distance",407,89,,,"n",,"30686","30367",8455
489132,463925,"shot",393,14,,,"n",,"30893","40945",10260
489132,464314,"shot",393,30,,,"n",,"30893","27430",10260
489133,463841,"distance",407,13,,,"n",,"23760","30818",8586
489133,464406,"header",406,37,,,"n",,"30616","30843",9825
489133,464813,"header",406,46,,,"n",,"38835","30843",9825
489133,465227,"shot",393,64,,,"n",,"30960","26181",9825
489133,465295,"shot",80,68,,,"n",,"23949",,8586
489133,465304,"shot",393,68,,,"n",,"30843","30960",9825
489133,465663,"shot",80,89,,,"n",,"30818",,8586
489133,465718,"shot",80,90,"4",,"n",,"30895",,8586
489134,464942,,20,53,,,"p",,"35608",,8549
489134,465709,"shot",393,90,"4",,"n",,"24393","42183",8549
489135,465700,"header",406,90,,,"n",,"39618","36012",8668
489136,463422,"shot",80,3,,,"n",,"30631",,8455
489136,464624,"shot",80,50,,,"n",,"37804",,8455
489136,465095,"shot",393,75,,,"n",,"30679","30911",8455
489137,465096,"header",406,73,,,"n",,"38755","25668",10194
489138,465392,,20,76,,,"p",,"30618",,8650
489139,463874,"shot",393,30,,,"n",,"24136","34947",8655
489139,464313,"shot",393,45,"2",,"n",,"30357","23282",10252
489139,464895,"shot",393,65,,,"n",,"23782","38807",10252
489139,465386,"shot",393,87,,,"n",,"23264","23354",10252
489139,465513,"direct_freekick",130,90,"4",,"n",,"30842",,8655
489140,462695,,20,10,,,"p",,"24205",,10261
489140,462869,"header",406,42,,,"n",,"37799","25518",10261
489140,462999,"shot",393,65,,,"n",,"27267","40055",8659
489141,463522,"shot",393,11,,,"n",,"31907","24781",9879
489141,464828,"shot",393,60,,,"n",,"31907","24843",9879
489142,466901,"shot",393,3,,,"n",,"30893","27430",10260
489142,467171,"header",406,23,,,"n",,"26143","23022",8667
489142,467264,"shot",393,29,,,"n",,"34944","27430",10260
489142,467429,"shot",298,40,,,"dg",,"30829",,10260
489142,467495,"header",406,44,,,"n",,"30893","40945",10260
489142,467857,"shot",393,57,,,"n",,"30865","30829",10260
489142,468051,"shot",80,69,,,"n",,"32577",,8667
489142,468239,,20,82,,,"p",,"39073",,8667
489143,468555,"shot",393,3,,,"n",,"37139","24635",8650
489143,468934,,115,69,,,"o",,"30617",,8650
489143,469035,"shot",393,90,"1",,"n",,"40755","23949",8586
489144,466744,"header",406,87,,,"n",,"30735","24006",8668
489145,467145,"shot",393,21,,,"n",,"24747","30734",8654
489145,468240,"direct_freekick",130,82,,,"n",,"38491",,8549
489146,473071,"distance",407,60,,,"n",,"37799","24205",10261
489146,473124,"shot",393,83,,,"n",,"37799","33852",10261
489147,471685,"shot",393,77,,,"n",,"23937","23932",8559
489147,471816,,115,88,,,"o",,"24211",,8456
489148,467018,,20,13,,,"p",,"34947",,8655
489148,467819,"shot",393,55,,,"n",,"32570","27267",8659
489148,467926,"distance",407,62,,,"n",,"27267","24664",8659
489148,468356,"distance",39,89,,,"n",,"38711",,8655
489149,467538,,20,45,,,"p",,"127857",,8528
489149,468290,"shot",393,82,,,"n",,"38820","30830",8462
489149,468417,"shot",393,90,"2",,"n",,"34466","25150",8528
489150,467013,"header",406,11,,,"n",,"38755","25668",10194
489150,468113,"header",406,73,,,"n",,"23333","25668",10194
489150,468415,"deflected",414,90,"4",,"n",,"31291","30613",9825
489151,467232,"loose_ball",391,27,,,"n",,"26564","30630",8455
489151,467268,"shot",393,30,,,"n",,"37804","26564",8455
489151,467547,"shot",393,45,"1",,"n",,"37804","30679",8455
489151,467740,"header",406,51,,,"n",,"30631","30630",8455
489151,467776,"shot",393,53,,,"n",,"37804","30679",8455
489152,477576,"shot",298,9,,,"dg",,"27430",,10260
489152,477652,"deflected",288,22,,,"n",,"26181",,9825
489152,477793,"distance",407,48,,,"n",,"26181","30613",9825
489152,478022,"shot",80,90,,,"n",,"38994",,10260
489153,479444,"shot",393,34,,,"n",,"24635","30618",8650
489153,479490,"shot",393,43,,,"n",,"24635","34222",8650
489153,479730,"shot",393,90,"3",,"n",,"37442","37139",8650
489154,478161,"shot",393,4,,,"n",,"33418","17866",8472
489154,478689,"distance",407,51,,,"n",,"40987","38820",8462
489154,479097,,20,90,"1",,"p",,"30348",,8462
489155,478875,"shot",393,63,,,"n",,"109898","24223",8654
489155,479073,"header",406,83,,,"n",,"33086","30735",8668
489155,479090,"deflected",414,85,,,"n",,"30735","25666",8668
489155,479102,"distance",407,87,,,"n",,"30735","30876",8668
489156,481521,"shot",80,34,,,"n",,"42183",,8549
489156,481560,"header",406,37,,,"n",,"23283","38807",10252
489156,482570,"shot",80,88,,,"n",,"42183",,8549
489157,481298,"loose_ball",391,16,,,"n",,"33974","30340",8456
489157,481496,"shot",393,29,,,"n",,"23949","31097",8586
489157,482195,"shot",393,64,,,"n",,"23949","30818",8586
489158,480697,"deflected",414,40,,,"n",,"37804","25925",8455
489158,481020,"shot",393,68,,,"n",,"37804","30631",8455
489159,482197,"shot",80,23,,,"n",,"31907",,9879
489159,482842,"shot",393,57,,,"n",,"24225","37799",10261
489159,482919,,20,66,,,"p",,"30338",,9879
489160,478703,"shot",393,50,,,"n",,"24372","23783",8559
489162,486869,"direct_freekick",130,4,,,"n",,"30893",,10260
489162,487579,"shot",393,45,"1",,"n",,"34944","30893",10260
489162,487739,"shot",393,49,,,"n",,"27430","38817",10260
489162,488357,"distance",407,84,,,"n",,"113836","111975",10260
489162,488443,"direct_freekick",130,89,,,"n",,"30893",,10260
489163,487147,"saved",159,20,,,"npm",,"23354",,10252
489163,488099,,115,70,,,"o",,"31291",,9825
489163,488254,"shot",393,80,,,"n",,"23264","43280",10252
489165,489911,"shot",393,8,,,"n",,"24393","30892",8549
489165,490636,"header",406,65,,,"n",,"24160","24011",8668
489166,486865,"distance",39,3,,,"n",,"24890",,8528
489166,488312,"loose_ball",131,80,,,"n",,"30619",,10261
489166,488436,"shot",393,87,,,"n",,"37799","29581",10261
489166,488465,"header",406,89,,,"n",,"24230","37684",8528
489167,487580,"header",406,45,"2",,"n",,"19020","23916",8655
489167,487745,"bicycle_kick",167,49,,,"n",,"30988",,8472
489167,488148,"shot",393,71,,,"n",,"33418","38802",8472
489168,487365,"deflected",288,33,,,"n",,"24020",,9879
489168,488094,"shot",393,70,,,"n",,"31907","24020",9879
489168,488278,"shot",393,81,,,"n",,"24157","23760",8586
489169,486531,"header",406,28,,,"n",,"37139","34222",8650
489169,486560,"header",299,45,"2",,"dg",,"23783",,8559
489169,486671,"header",406,73,,,"n",,"30618","30853",8650
489170,488694,"distance",39,34,,,"n",,"25925",,8455
489170,488701,"shot",393,38,,,"n",,"37804","30679",8455
489170,488714,"shot",393,45,"1",,"n",,"37804","31906",8455
489171,491389,"shot",80,14,,,"n",,"26143",,8667
489171,491660,"shot",80,37,,,"n",,"24213",,8456
489171,491749,"shot",393,45,,,"n",,"24213","33963",8456
489171,492075,"direct_freekick",130,60,,,"n",,"39073",,8667
489173,499914,"deflected",288,20,,,"n",,"30966",,8654
489174,498739,"shot",393,9,,,"n",,"40755","30895",8586
489176,495126,"header",406,8,,,"n",,"26454","24372",8559
489176,495174,"shot",393,10,,,"n",,"24372","26454",8559
489176,496486,"shot",393,77,,,"n",,"24167","24166",8549
489176,496502,"shot",393,78,,,"n",,"34261","35532",8559
489177,495831,"loose_ball",131,45,"2",,"n",,"24213",,8456
489177,496107,"shot",393,56,,,"n",,"33974","30367",8456
489177,496750,,20,90,"1",,"p",,"51553",,8456
489178,495329,"header",406,20,,,"n",,"30830","26108",8462
489178,496069,"header",406,54,,,"n",,"34275","26066",8667
489178,496258,"distance",39,63,,,"n",,"34036",,8462
489178,496682,,115,88,,,"o",,"24630",,8462
