match_id,id,subtype,event_incident_typefk,elapsed,elapsed_plus,del,homepos,awaypos,injury_time,goal_type,card_type
489042,379029,"possession",352,25,,,"56","44",,,
489042,379251,"possession",352,45,"1",,"54","46",,,
489042,379443,"possession",352,70,,,"54","46",,,
489042,379575,"possession",352,90,"5",,"55","45",,,
489043,375608,"possession",352,27,,,"65","35",,,
489043,375663,"possession",352,45,"2",,"61","39",,,
489043,375787,"possession",352,74,,,"65","35",,,
489043,375909,"possession",352,90,"3",,"66","34",,,
489044,377876,"possession",352,25,,,"45","55",,,
489044,377944,"possession",352,45,"1",,"43","57",,,
489044,378011,"possession",352,70,,,"48","52",,,
489044,378069,"possession",352,90,"4",,"46","54",,,
489045,376411,"possession",352,25,,,"50","50",,,
489045,376739,"possession",352,45,,,"56","44",,,
489045,377303,"possession",352,69,,,"41","59",,,
489045,377621,"possession",352,90,"1",,"52","48",,,
489046,378668,"possession",352,25,,,"51","49",,,
489046,378781,"possession",352,45,,,"54","46",,,
489046,379034,"possession",352,70,,,"49","51",,,
489046,379254,"possession",352,90,,,"52","48",,,
489047,376438,"possession",352,25,,,"46","54",,,
489047,376819,"possession",352,45,"3",,"59","41",,,
489047,377333,"possession",352,70,,,"51","49",,,
489047,377673,"possession",352,90,"6",,"51","49",,,
489048,376406,"possession",352,25,,,"49","51",,,
489048,376755,"possession",352,45,,,"49","51",,,
489048,377393,"possession",352,76,,,"53","47",,,
489048,377588,"possession",352,90,,,"53","47",,,
489049,376417,"possession",352,25,,,"58","42",,,
489049,376824,"possession",352,45,"3",,"47","53",,,
489049,377330,"possession",352,70,,,"51","49",,,
489049,377668,"possession",352,90,"4",,"47","53",,,
489050,376398,"possession",352,24,,,"49","51",,,
489050,377348,"possession",352,70,,,"50","50",,,
489050,377672,"possession",352,90,"5",,"53","47",,,
489051,378256,"possession",352,27,,,"57","43",,,
489051,378327,"possession",352,45,"2",,"64","36",,,
489051,378473,"possession",352,72,,,"65","35",,,
489132,464186,"possession",352,25,,,"59","41",,,
489132,464546,"possession",352,45,"1",,"58","42",,,
489132,465422,"possession",352,71,,,"59","41",,,
489132,465719,"possession",352,90,"1",,"60","40",,,
489133,465263,"possession",352,66,,,"63","37",,,
489133,465687,"possession",352,90,"1",,"62","38",,,
489134,464068,"possession",352,25,,,"48","52",,,
489134,464503,"possession",352,45,,,"57","43",,,
489134,465325,"possession",352,70,,,"49","51",,,
489134,465671,"possession",352,90,,,"45","55",,,
489135,464152,"possession",352,25,,,"55","45",,,
489135,464675,"possession",352,45,,,"55","45",,,
489135,465406,"possession",352,70,,,"55","45",,,
489135,465683,"possession",352,90,,,"53","47",,,
489137,463760,"possession",352,25,,,"49","51",,,
489137,464300,"possession",352,45,"2",,"50","50",,,
489137,465009,"possession",352,70,,,"51","49",,,
489137,465524,"possession",352,90,"4",,"52","48",,,
489138,464052,"possession",352,25,,,"57","43",,,
489138,464475,"possession",352,45,,,"54","46",,,
489138,465441,"possession",352,70,,,"54","46",,,
489138,465651,"possession",352,90,,,"54","46",,,
489139,463781,"possession",352,25,,,"51","49",,,
489139,464275,"possession",352,45,"1",,"49","51",,,
489139,465000,"possession",352,70,,,"52","48",,,
489139,465462,"possession",352,90,"1",,"57","43",,,
489140,462767,"possession",352,25,,,"45","55",,,
489140,462894,"possession",352,45,"1",,"51","49",,,
489140,463012,"possession",352,70,,,"52","48",,,
489140,463082,"possession",352,90,"5",,"51","49",,,
489141,464262,"possession",352,25,,,"55","45",,,
489141,464331,"possession",352,45,"1",,"56","44",,,
